SMILES,LogHL
C=O,-6.472370099
CC(O)C(O)=O,-7.089909454
ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,-5.079876674
OC(=O)C1=C(Cl)C(Cl)=CC=C1Cl,-7.673664139
C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45,-6.3400838
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,-10.37263414
OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O,-11.39794001
CC(=O)OC1=C(C=CC=C1)C(O)=O,-8.886056648
OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,-7.065501549
CN(CCCl)CCCl,-5.536107011
CCOC(N)=O,-7.191789027
OCC(Br)(CO)[N+]([O-])=O,-10.87614836
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-10.76955108
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,-5.087777943
C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1,-6.850780887
CCN(CC)N=O,-5.440093375
NC(=O)C1=CC=CC=C1,-9.610833916
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,-5.835647144
[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,-7.062482108
CC(C)OP(F)(=O)OC(C)C,-5.040481623
ClC(Cl)(Cl)Cl,-1.559090918
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,-6.525783736
CC1=C2CCC3=C4C=CC5=CC=CC=C5C4=CC(C=C1)=C23,-5.280668713
C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2,-4.920818754
CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,-7.510041521
OCC(O)CO,-7.761953897
C=CCN=C=S,-3.617982957
CCCCCCCCCCCCCCCC(O)=O,-4.698970004
CCCCCCCCCCCCCCCCCC(O)=O,-6.322393047
NC(N)=O,-11.75945075
CC(O)CO,-7.88941029
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,-5.424812155
OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl,-5.053547735
CC1=C(Cl)C=CC(O)=C1,-5.610833916
OCC(S)CS,-8.027334408
O=NN1CCOCC1,-7.610833916
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,-15.23882419
OCCC1=CC=CC=C1,-6.591760035
OCCS,-6.744727495
CCOCC,-2.910094889
CNC(=O)CSP(=S)(OC)OC,-9.614393726
NC1=NNC=N1,-12.65560773
CCOC1=CC=C(NC(C)=O)C=C1,-9.671620397
CCOS(C)(=O)=O,-6.586700236
NC1=CC=CC=C1,-5.694648631
NC(N)=S,-8.70333481
COP(=O)(OC)OC=C(Cl)Cl,-6.241088108
CN(C)N=O,-5.739928612
CNC(=O)OC1=C2C=CC=CC2=CC=C1,-8.485452247
CCO,-5.301029996
OC=O,-6.777283529
CC(O)=O,-7
CCOS(=O)(=O)OCC,-5.211831629
OC(=O)C1=CC=CC=C1,-7.419075024
O=C1NC=CC(=O)N1,-8.718966633
CCCCCC=O,-3.671620397
CO,-5.341988603
CC(C)O,-5.091514981
CC(C)=O,-4.455931956
ClC(Cl)Cl,-2.435333936
CS(C)=O,-8.821023053
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-2.410050399
CN(C)C=O,-7.131355562
OC(=O)C1=C(O)C=CC=C1,-8.13430394
CCCO,-5.130181792
CCCCO,-5.055024092
CCCCCO,-4.886056648
C1=CC=CC=C1,-2.255707017
CC(Cl)(Cl)Cl,-1.764471553
COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl,-6.692503962
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,-5.180456064
ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,-4.380906669
NC1=NC=NC2=C1N=CN2,-14.11350927
C,-0.182038195
CBr,-2.13430394
CC,-0.301464507
C=C,-0.642065153
C#C,-1.663540266
CCl,-2.054531415
CI,-2.279014256
CN,-4.954677021
C#N,-3.876148359
CS,-2.505288975
BrCBr,-3.085128182
CCBr,-2.13076828
ClCBr,-2.836242476
CCC,-0.150764909
CC#C,-1.958212681
CCCl,-1.954677021
ClC=C,-1.555955204
CCI,-2.156144577
CCN,-4.910094889
CC#N,-4.462180905
CC=O,-4.175874166
CCS,-2.343901798
ClCCl,-2.488116639
ICI,-3.490797478
NC=O,-8.8569852
S=C=S,-1.841637508
CSC,-2.793174124
C1CC1,-0.102372909
C1CO1,-3.829738285
BrC(Br)Br,-3.271646218
CC(C)Br,-1.958607315
ClC(Cl)Br,-2.673664139
CC(C)C,0.075181855
CC(C)Cl,-1.756961951
CC(C)I,-2.162032982
CC(C)N,-4.345823458
CC(Cl)Cl,-2.250263684
ClC(Cl)=C,-1.583359493
CC(F)F,-1.692503962
FC(F)=C,-0.42136079
FC(Cl)Cl,-1.966576245
ClC(Cl)=O,-1.777283529
FC(F)Cl,-1.391473966
FC(F)F,-1.021363052
CN(C)C,-3.982966661
C[N+]([O-])=O,-4.543633967
CC1CN1,-5
CC1CO1,-4.15739076
FC(F)(F)Br,-0.301899454
CC(C)(C)N,-4.446116973
CC(C)(C)O,-5.043351421
CC(F)(F)Cl,-1.230622674
FC(Cl)(Cl)Cl,-1.013228266
FC(F)(Cl)Cl,-0.46470588
FC(F)(F)Cl,0.139879086
FC(F)(F)F,0.711807229
C[Si](C)(C)C,0.628695383
CCC(C)(C)C,0.181843588
CC(C)(C)CO,-4.27572413
CCC(C)(C)O,-4.860120914
ClC(Cl)(Cl)C=O,-8.536107011
OCC(F)(F)F,-4.761953897
OC(=O)C(Br)(Br)Br,-8.476253533
CC(=O)C(C)(C)C,-3.661543506
CC(C)(C)C(O)=O,-5.555955204
CC(Cl)(Cl)C(O)=O,-7.247183569
ClC(Cl)C(Cl)(Cl)Cl,-2.71219827
ClC(=O)C(Cl)(Cl)Cl,-3.294992041
OC(=O)C(Cl)(Cl)Cl,-7.869666232
OC(=O)C(F)(F)Cl,-7.387216143
OC(=O)C(F)(F)F,-6.954677021
[O-][N+](=O)C(Cl)(Cl)Cl,-2.688246139
FC(F)(Cl)C(Cl)(Cl)Cl,-0.793174124
FC(Cl)(Cl)C(F)(Cl)Cl,-0.946921557
FC(F)(Cl)C(F)(Cl)Cl,-0.279014256
FC(F)(Cl)C(F)(F)Cl,0.447158031
FC(F)(F)C(F)(F)Cl,0.746634199
FC(F)(F)C(F)(F)F,1.307496038
FC(F)(F)C(F)(F)C(F)(F)F,1.518382316
CC1(C)C2CCC1(C)C(=O)C2,-4.091514981
OCC(F)(F)C(F)F,-5.201349355
COC(F)(F)C(Cl)Cl,-2.431798276
ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-3.53165267
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,-1.568636236
CCC(C)(O)CC,-4.754487332
CCC(C)(O)C#C,-5.164309429
COS(=O)(=O)OC,-5.397940009
CCOP(=O)(C#N)N(C)C,-6.818156412
OC(=O)CC(O)(CC(O)=O)C(O)=O,-13.3635121
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,-8.415668776
CCC(C)(CC)OC(N)=O,-4.476253533
CCOP(=O)(OCC)OCC,-7.443697499
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,-7.104577454
CCCCSP(=O)(SCCCC)SCCCC,-6.53165267
COP(=S)(OC)SCC1=NC(N)=NC(N)=N1,-8.798602876
CC1=CC(=O)CC(C)(C)C1,-5.177831921
CC(C)(N=NC(C)(C)C#N)C#N,-5.382999659
CC(C)=CCCC(C)(O)C=C,-4.66756154
CC(Br)CBr,-2.836838625
CCC(C)C,0.146128036
CC(=C)C=C,-1.115204636
CC(C)CN,-4.866461092
CC(C)CO,-5.009661145
CC(C)C=O,-3.744727495
CC(=C)C=O,-3.634512015
CCC(C)Cl,-1.617982957
CC(Cl)CCl,-2.549750892
ClCC(Cl)=C,-2.381219975
CCC(C)O,-5.042871802
CCC(C)=O,-4.244887734
CC(=O)C=C,-4.332547047
CC(=O)CCl,-4.782516056
CC(=O)C=O,-6.568636236
CCC(Cl)Cl,-2.424812155
ClCC(Cl)Cl,-3.084072788
ClC=C(Cl)Cl,-2.00656377
NC(=O)C=C,-8.769551079
OC(=O)CBr,-8.185752404
CCC(O)=O,-6.351639989
OC(=O)C=C,-6.431798276
OC(=O)CCl,-8.033389013
CNC(C)=O,-7.373659633
COC(C)=O,-3.93930216
CC(=O)OO,-5.669586227
CC[N+]([O-])=O,-4.322393047
BrC(Br)C(Br)Br,-4.872895202
CC(C)C(C)C,0.071882007
CC(C)C(O)=O,-6.053056729
ClC(Cl)C(Cl)Cl,-3.435333936
CC(=C)C(O)=O,-6.411168274
OC(=O)C(Cl)Cl,-8.076755981
CC(C)[N+]([O-])=O,-3.924453039
CC(C)(OO)C1=CC=CC=C1,-7.326979093
CC1=CCC2CC1C2(C)C,-0.872895202
COC(=O)C(C)=C,-3.496209317
OC1=CC=C(O)C2=C1C(=O)C1=C(C=CC=C1)C2=O,-7.097453221
CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,-8.557520231
NC1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=CC=C1,-8.30980392
O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=C(C=CC=C2)C1=O,-9.812479279
[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,-4.354577731
C1CC2=C3C1=CC=CC3=CC=C2,-3.735182177
C1=CC=C(C=C1)C1=CC=CC=C1C1=CC=CC=C1,-4.21395879
O=C(OC1CCCCC1)C1=C(C=CC=C1)C(=O)OC1CCCCC1,-7
O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2,-7.628932138
CCOC(=O)C1=CC=CC=C1C(=O)OCC,-6.214670165
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,-5.742321425
CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCC,-4.590066877
C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,-4.373659633
C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,-6.759450752
O=C1OC(=O)C2=C1C=CC=C2,-7.787812396
CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,-5.899629455
COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O,-7.621602099
[O-][N+](=O)C1=C2C=CC=CC2=CC=C1,-5.754487332
C1C2=C(C=CC=C2)C2=C1C=CC=C2,-4.016824928
N1C2=CC=CC=C2C2=C1C=CC=C2,-6.935542011
ClC1=CC=CC(Cl)=C1Cl,-2.903089987
CC1=CC=CC(C)=C1N,-5.598599459
OC1=C(Cl)C=CC=C1Cl,-5.573488739
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-1.987162775
CC1=C(C)C(C)=C(C)C(C)=C1C,-3.107348966
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,-7.610833916
OC1=C(Cl)C=C(Cl)C=C1Cl,-5.585026652
CCC(CC)C(O)=O,-5.795880017
CC(C)(C)C1=C(O)C=CC=C1,-4.595166283
CC1=CC=CC=C1[N+]([O-])=O,-4.903089987
[O-][N+](=O)C1=C(Cl)C=CC=C1,-5.031517051
NC1=CC=CC=C1[N+]([O-])=O,-7.229147988
OC1=C(C=CC=C1)[N+]([O-])=O,-4.89279003
CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,-6.341035157
OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-10.76955108
OC(=O)C1=CC=CC=C1C(O)=O,-10.69897
[O-][N+](=O)C1=C(Cl)C=CC(Cl)=C1,-4.920818754
OC1=C(C=C(Cl)C=C1)[N+]([O-])=O,-4.899629455
CC(C)C1=CC=C(C)C=C1O,-6.316052869
CCC1=C(O)C=CC=C1,-5.336299075
OC1=CC=CC=C1C=O,-5.251037139
COC1=CC=CC=C1N,-6.033389013
COC1=C(O)C=CC=C1,-5.920818754
BrC1=C2C=CC=CC2=CC=C1,-3.54668166
CC1=C2C=CC=CC2=CC=C1,-3.289036881
ClC1=C2C=CC=CC2=CC=C1,-3.449771647
OC1=CC=CC2=CC=CC=C12,-7.22184875
OC1=C(C=CC=C1)C1=CC=CC=C1,-6.193820026
OC(C1=CC=CC=C1)C1=CC=CC=C1,-7.879426069
COC1=CC=CC(OC)=C1O,-6.63638802
C1CCC2CCCCC2C1,-0.327902142
C1=CC2=CC=CC=C2C=C1,-3.356547324
C1=CC2=C(C=C1)N=CC=C2,-5.777283529
COC1=C(C=CC=C1)[N+]([O-])=O,-6.367542708
CC1=CC2=CC=CC=C2C=C1,-3.28567024
ClC1=CC=C2C=CC=CC2=C1,-3.494850022
NC1=CC2=C(C=CC=C2)C=C1,-7.091514981
O=C1OC2=C(C=CC=C2)C=C1,-7.003488328
CCN(CC)C1=CC=CC=C1,-3.716698771
C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1,-5.454692884
C1=CC2=CC3=CC4=CC=CC=C4C=C3C=C2C=C1,-6.305394801
C1=CC=C(C=C1)C1=CC=CC=C1,-3.511449283
C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=CC=C1,-5.785156152
COC1=CC=C(CC=C)C=C1OC,-5.251811973
COC1=CC(C)=CC=C1O,-5.876148359
CCC(=O)C1=CC=CC=C1,-4.823908741
COC(=O)C1=CC=CC=C1,-4.48945499
ClCC(=O)N(CC=C)CC=C,-6.970616222
CCOC(=O)C1=CC=CC=C1,-4.134896025
CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1,-5.66756154
CC1=C(OCC(O)=O)C=CC(Cl)=C1,-8.876148359
OC(=O)COC1=C(Cl)C=C(Cl)C=C1,-7.450996738
CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,-6.311580178
CC1=C(OCCCC(O)=O)C=CC(Cl)=C1,-8.567030709
CCCC(O)C(CC)CO,-7.863279433
CCN(CC)C(=S)SCC(Cl)=C,-5.188424994
CC1=C(C)C=CC=C1,-2.28567024
CC1=C(O)C=CC=C1,-5.920818754
CC1=C(Cl)C=CC=C1,-2.447331784
ClC1=C(Cl)C=CC=C1,-2.716698771
NC1=C(Cl)C=CC=C1,-5.268411235
CC1=C(N)C=CC=C1,-5.70333481
NC1=C(N)C=CC=C1,-8.142667504
OC1=CC=CC=C1Cl,-4.950781977
CC1=CC(C)=C(C)C=C1,-2.210419288
CC1=CC=C(N)C=C1C,-5.730487056
CC1=C(C)C=C(O)C=C1,-6.381951903
CC1=CC(Cl)=C(Cl)C=C1,-2.590574131
NC1=CC(Cl)=C(Cl)C=C1,-4.835647144
CC1=CC(N)=C(C)C=C1,-5.369572125
CC1=CC(O)=C(C)C=C1,-5.950781977
CCOC(=O)C(=O)OCC,-5.655607726
ClC1=CC(Cl)=C(Cl)C=C1Cl,-3
OC1=C(Cl)C=C(Cl)C(Cl)=C1,-5.790484985
C1OC1C1=CC=CC=C1,-4.801342913
ClCC(Br)CBr,-3.832682665
CCC(C)CC,0.226084116
ClCC(Cl)CCl,-3.46470588
CCC(=O)CC,-4.301029996
OC(CCl)CCl,-5.88941029
OCC(O)CCl,-7.536107011
COC(=O)C=C,-3.701146924
COC(=O)CCl,-4.625251654
CC1CCCC1,-0.440093375
CC1CCCO1,-4.031517051
O=C1CCCO1,-7.278189385
CC(OP(C)(F)=O)C(C)(C)C,-5.3400838
CC(C)N(CCO)C(C)C,-5.896196279
[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,-5.549750892
OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O,-11.93930216
COC1=C(O)C=CC(CC=C)=C1,-5.701146924
CCOC(=O)C(C)=C,-3.241845378
CCOC(=O)C(C)O,-6.234331445
CC(C)COC(=O)C(C)C,-3.085128182
CC(C)COC(=O)C(C)=C,-3.281498311
CCCCOC(=O)C(C)=C,-3.304518324
CCC(CC)CO,-4.289036881
OCC1=CC=CO1,-7.104577454
O=CC1=CC=CO1,-5.42365865
CC(C)(C)C1=CC=CC=C1,-1.880414225
FC(F)(F)C1=CC=CC=C1,-1.782516056
CC(C)(C)C1=CC=C(O)C=C1,-5.924453039
CC1=CCC(CC1)C(C)(C)O,-5.651695137
CC(C)C1=CC=CC=C1,-1.93930216
CC(=C)C1=CC=CC=C1,-2.59345982
CC(=O)C1=CC=CC=C1,-4.982966661
ClC(Cl)C1=CC=CC=C1,-3.400116928
CN(C)C1CCCCC1,-4.628932138
[O-][N+](=O)C1=CC=CC=C1,-4.619788758
CC1=CC(=CC=C1)[N+]([O-])=O,-5.031517051
NC1=CC(=CC=C1)[N+]([O-])=O,-8.101823517
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,-7.330683119
[O-][N+](=O)C1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,-8.187086643
[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1,-5.093126465
[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,-7.30980392
CC(C)C1CCC(C)CC1,0.245512668
CC(C)C1=CCC(C)=CC1,-1.588380294
OC(=O)C1=CC=C(O)C=C1,-11.15614458
CN(C)C1=CC=C(C)C=C1,-4.312471039
CC1=CC=C(C=C1)[N+]([O-])=O,-5.249491605
[O-][N+](=O)C1=CC=C(Cl)C=C1,-5.310691141
NC1=CC=C(C=C1)[N+]([O-])=O,-8.899629455
OC1=CC=C(C=C1)[N+]([O-])=O,-9.381951903
C=CC1CCC=CC1,-1.348625056
CCC1=CC=CC=C1,-2.103473783
C=CC1=CC=CC=C1,-2.560667306
C=CC1=CC=NC=C1,-5.092588639
ClCC1=CC=CC=C1,-3.385102784
N#CC1=CC=CC=C1,-4.283162277
N#CC1=CC=NC=C1,-6.031984286
OCC1=CC=CC=C1,-6.472370099
O=CC1=CC=CC=C1,-4.573488739
N#CC1=CN=CC=C1,-6.562249437
CNC1=CC=CC=C1,-5.051587034
NNC1=CC=CC=C1,-8.354577731
ON=C1CCCCC1,-6.634512015
COC1=CC=CC=C1,-3.315154638
C=CC1=NC=CC=C1,-4.853871964
CCC1=NC=CC=C1,-4.782516056
O=NN1CCCCC1,-6.073657553
OC1=CC=CC(C=O)=C1,-8.602059991
C1N2CN3CN1CN(C2)C3,-8.785156152
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,-9.55129368
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,-6.244887734
ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1,-7.931814138
CN(C)C(=O)NC1=CC=CC=C1,-8.696803943
C(C1=CC=CC=C1)C1=CC=CC=C1,-3.88941029
O(C1=CC=CC=C1)C1=CC=CC=C1,-3.554395797
CCCN(CCC)CCC,-3.419075024
C=CCN(CC=C)CC=C,-3.580044252
OCCN(CCO)CCO,-12.15181088
CC(=O)OCC(COC(C)=O)OC(C)=O,-7.910094889
CCCCN(CCCC)CCCC,-3.795880017
CCCCC(CC)COC(=O)C=C,-3.364516253
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-6.36251027
C(=C/C1=CC=CC=C1)\C1=CC=CC=C1,-3.142064735
C1=CC=C(C=C1)N=NC1=CC=CC=C1,-4.869666232
CCOC(=O)C=CC1=CC=CC=C1,-5.370590401
C(OCC1=CC=CC=C1)C1=CC=CC=C1,-5.172630727
BrCCC1=CC=CC=C1,-2.818156412
CCCC1=CC=CC=C1,-1.978810701
CCNC1=CC=CC=C1,-5.009661145
CCOC1=CC=CC=C1,-3.355561411
OC(=O)CC1=CC=CC=C1,-7.387216143
CCCCCCCCCC1=CC=C(O)C=C1,-4.468521083
CCCCC1=CC=CC=C1,-1.799696817
CCCCCCCCCCC1=CC=CC=C1,-0.815308569
CCCCC(CC)CN,-4.021363052
CCCCC(CC)CO,-4.576754126
CC1=CC=C(C=O)C=C1,-4.759450752
CCC1=CN=C(C)C=C1,-4.721246399
COC1=CC=C(N)C=C1,-7.180456064
