,SMILES,HL,LogHL
327,CC(C)(C)C1=CC=CC=C1,0.01317,-1.880414225
328,FC(F)(F)C1=CC=CC=C1,0.0165,-1.782516056
329,CC(C)(C)C1=CC=C(O)C=C1,1.19e-06,-5.924453039
330,CC1=CCC(CC1)C(C)(C)O,2.23e-06,-5.651695137
331,CC(C)C1=CC=CC=C1,0.0115,-1.93930216
332,CC(=C)C1=CC=CC=C1,0.00255,-2.59345982
333,CC(=O)C1=CC=CC=C1,1.04e-05,-4.982966661
334,ClC(Cl)C1=CC=CC=C1,0.000398,-3.400116928
335,CN(C)C1CCCCC1,2.35e-05,-4.628932138
336,[O-][N+](=O)C1=CC=CC=C1,2.4e-05,-4.619788758
337,CC1=CC(=CC=C1)[N+]([O-])=O,9.3e-06,-5.031517051
338,NC1=CC(=CC=C1)[N+]([O-])=O,7.91e-09,-8.101823517
339,NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,4.67e-08,-7.330683119
340,[O-][N+](=O)C1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,6.5e-09,-8.187086643
341,[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1,8.07e-06,-5.093126465
342,[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,4.9e-08,-7.30980392
343,CC(C)C1CCC(C)CC1,1.76,0.245512668
344,CC(C)C1=CCC(C)=CC1,0.0258,-1.588380294
345,OC(=O)C1=CC=C(O)C=C1,6.98e-12,-11.15614458
346,CN(C)C1=CC=C(C)C=C1,4.87e-05,-4.312471039
347,CC1=CC=C(C=C1)[N+]([O-])=O,5.63e-06,-5.249491605
348,[O-][N+](=O)C1=CC=C(Cl)C=C1,4.89e-06,-5.310691141
349,NC1=CC=C(C=C1)[N+]([O-])=O,1.26e-09,-8.899629455
350,OC1=CC=C(C=C1)[N+]([O-])=O,4.15e-10,-9.381951903
351,C=CC1CCC=CC1,0.04481,-1.348625056
352,CCC1=CC=CC=C1,0.00788,-2.103473783
353,C=CC1=CC=CC=C1,0.00275,-2.560667306
354,C=CC1=CC=NC=C1,8.08e-06,-5.092588639
355,ClCC1=CC=CC=C1,0.000412,-3.385102784
356,N#CC1=CC=CC=C1,5.21e-05,-4.283162277
357,N#CC1=CC=NC=C1,9.29e-07,-6.031984286
358,OCC1=CC=CC=C1,3.37e-07,-6.472370099
359,O=CC1=CC=CC=C1,2.67e-05,-4.573488739
360,N#CC1=CN=CC=C1,2.74e-07,-6.562249437
361,CNC1=CC=CC=C1,8.88e-06,-5.051587034
362,NNC1=CC=CC=C1,4.42e-09,-8.354577731
363,ON=C1CCCCC1,2.32e-07,-6.634512015
364,COC1=CC=CC=C1,0.000484,-3.315154638
365,C=CC1=NC=CC=C1,1.4e-05,-4.853871964
366,CCC1=NC=CC=C1,1.65e-05,-4.782516056
367,O=NN1CCCCC1,8.44e-07,-6.073657553
368,OC1=CC=CC(C=O)=C1,2.5e-09,-8.602059991
369,C1N2CN3CN1CN(C2)C3,1.64e-09,-8.785156152
370,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,2.81e-10,-9.55129368
371,CC(C)OC(=O)NC1=CC=CC(Cl)=C1,5.69e-07,-6.244887734
372,ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1,1.17e-08,-7.931814138
373,CN(C)C(=O)NC1=CC=CC=C1,2.01e-09,-8.696803943
374,C(C1=CC=CC=C1)C1=CC=CC=C1,0.000129,-3.88941029
375,O(C1=CC=CC=C1)C1=CC=CC=C1,0.000279,-3.554395797
376,CCCN(CCC)CCC,0.000381,-3.419075024
377,C=CCN(CC=C)CC=C,0.000263,-3.580044252
378,OCCN(CCO)CCO,7.05e-13,-12.15181088
379,CC(=O)OCC(COC(C)=O)OC(C)=O,1.23e-08,-7.910094889
380,CCCCN(CCCC)CCCC,0.00016,-3.795880017
381,CCCCC(CC)COC(=O)C=C,0.000432,-3.364516253
382,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,4.34e-07,-6.36251027
383,C(=C/C1=CC=CC=C1)\C1=CC=CC=C1,0.000721,-3.142064735
384,C1=CC=C(C=C1)N=NC1=CC=CC=C1,1.35e-05,-4.869666232
385,CCOC(=O)C=CC1=CC=CC=C1,4.26e-06,-5.370590401
386,C(OCC1=CC=CC=C1)C1=CC=CC=C1,6.72e-06,-5.172630727
387,BrCCC1=CC=CC=C1,0.00152,-2.818156412
388,CCCC1=CC=CC=C1,0.0105,-1.978810701
389,CCNC1=CC=CC=C1,9.78e-06,-5.009661145
390,CCOC1=CC=CC=C1,0.000441,-3.355561411
391,OC(=O)CC1=CC=CC=C1,4.1e-08,-7.387216143
392,CCCCCCCCCC1=CC=C(O)C=C1,3.4e-05,-4.468521083
393,CCCCC1=CC=CC=C1,0.01586,-1.799696817
394,CCCCCCCCCCC1=CC=CC=C1,0.153,-0.815308569
395,CCCCC(CC)CN,9.52e-05,-4.021363052
396,CCCCC(CC)CO,2.65e-05,-4.576754126
397,CC1=CC=C(C=O)C=C1,1.74e-05,-4.759450752
398,CCC1=CN=C(C)C=C1,1.9e-05,-4.721246399
399,COC1=CC=C(N)C=C1,6.6e-08,-7.180456064
400,CCC1=CC=C(CC)C=C1,0.007548,-2.122168109
401,CCCC(C)CO,4.3e-05,-4.366531544
402,CCOC(=O)CC,0.000251,-3.600326279
403,CCOC(=O)CCl,4.06e-05,-4.391473966
404,COC(=O)CC(C)=O,2.73e-07,-6.563837353
405,CCC(C)OC(C)=O,0.000419,-3.377785977
406,CCOC(=O)CC(=O)OCC,2.1e-06,-5.677780705
407,CCCC(=O)OCC,0.000399,-3.399027104
408,CCOC(=O)CC#N,2.89e-07,-6.539102157
409,CCOC(C)OCC,9.75e-05,-4.010995384
410,CCOC(=O)OCC,8.93e-05,-4.049148541
411,CN(CCO)CCO,3.14e-11,-10.50307035
412,CCCOC(=O)CCC,0.000636,-3.196542884
413,CC1=CC(C)=C(O)C=C1,9.51e-07,-6.021819483
414,CCCCOC(=O)\C=C/C(=O)OCCCC,3.74e-07,-6.427128398
415,CC(C)=CCC\C(C)=C/CO,1.15e-05,-4.93930216
416,CCCCCCC(=O)OCC,0.000499,-3.301899454
417,CCCCC(=O)CC,9.08e-05,-4.041914151
418,CCCOC(=O)CC,0.000401,-3.396855627
419,BrC1=CC=C(Br)C=C1,0.000893,-3.049148541
420,CC1=CC=C(Br)C=C1,0.00233,-2.632644079
421,ClC1=CC=C(Br)C=C1,0.001448,-2.839231438
422,OC1=CC=C(Br)C=C1,1.51e-07,-6.821023053
423,CC1=CC=C(C)C=C1,0.0069,-2.161150909
424,CC1=CC=C(Cl)C=C1,0.00438,-2.358525889
425,CC1=CC=C(O)C=C1,1e-06,-6.0
426,ClC1=CC=C(Cl)C=C1,0.00241,-2.617982957
427,NC1=CC=C(Cl)C=C1,1.16e-06,-5.935542011
428,OC1=CC=C(Cl)C=C1,6.27e-07,-6.202732459
429,CC1=CC=C(N)C=C1,2.02e-06,-5.694648631
430,O=C1C=CC(=O)C=C1,0.000479,-3.319664487
431,CC(C)COC(=O)C=C,0.000596,-3.22475374
432,CCCCCC(=O)CC,0.00013,-3.886056648
433,CCCCCC(=O)OC,0.000367,-3.435333936
434,CCC1CO1,0.00018,-3.744727495
435,ClCC1CO1,3.04e-05,-4.517126416
436,BrCCBr,0.00065,-3.187086643
437,CCCBr,0.00732,-2.135488919
438,BrCC#C,0.00113,-2.946921557
439,CCCC,0.9497,-0.022413562
440,CCC=C,0.233,-0.632644079
441,C=CC=C,0.0736,-1.133122186
442,C=CC=O,0.000122,-3.913640169
443,CCCS,0.00408,-2.389339837
444,ClCCBr,0.000909,-3.041436117
445,ClCC=C,0.011,-1.958607315
446,ClCCCl,0.00118,-2.928117993
447,OCCCl,7.61e-07,-6.118615343
448,CCCI,0.00901,-2.045275209
449,CCCN,1.48e-05,-4.829738285
450,NCC=C,1.82e-05,-4.739928612
451,CCC#N,3.7e-05,-4.431798276
452,C=CC#N,0.000138,-3.860120914
453,NCCN,1.73e-09,-8.761953897
454,OCC=C,4.99e-06,-5.301899454
455,OCC#C,1.15e-06,-5.93930216
456,OCCO,6e-08,-7.22184875
457,O=CC=O,3.33e-09,-8.477555766
458,COC=C,0.00671,-2.17327748
459,COC=O,0.000223,-3.651695137
460,CC(C)OP(C)(F)=O,5.72e-07,-6.242603971
461,C[Si](C)(C)O[Si](C)(C)C,9.67,0.985426474
462,CCOP(=O)(OCC)OP(=O)(OCC)OCC,1e-10,-10.0
463,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,30.6,1.485721426
464,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1360.0,3.133538908
465,COC(C)(C)CC(C)=O,1.93e-06,-5.714442691
466,CC(C)CCBr,0.0346,-1.460923901
467,CCCC(C)C,1.71,0.23299611
468,CCCC(C)=O,8.36e-05,-4.077793723
469,CC(O)CCO,2.38e-09,-8.623423043
470,CCCC(O)=O,5.35e-07,-6.271646218
471,COCC(C)O,9.2e-07,-6.036212173
472,CN(C)CCO,3.73e-07,-6.428291168
473,CCC[N+]([O-])=O,8.7e-05,-4.060480747
474,CC(=O)OC=C,0.000511,-3.2915791
475,CC(C)CC(C)C,1.904,0.279666944
476,CC(C)CC(C)N,3.12e-05,-4.505845406
477,CC(C)CC(C)=O,0.000138,-3.860120914
478,CC(C)CC(C)O,4.45e-05,-4.351639989
479,CC(C)NC(C)C,9.6e-05,-4.017728767
480,CC(C)OC(C)C,0.00256,-2.591760035
481,CC(C)OC(C)=O,0.000278,-3.555955204
482,CC(=O)OC(C)=O,5.71e-06,-5.243363892
483,CC1COC(=O)O1,3.45e-08,-7.462180905
484,BrC1=CC(Br)=CC=C1,0.001237,-2.9076303
485,CC1=CC(C)=CC=C1,0.00718,-2.143875556
486,CC1=CC(O)=CC=C1,8.56e-07,-6.067526235
487,CC1=CC(Cl)=CC=C1,0.01613,-1.792365633
488,NC1=CC(Cl)=CC=C1,1e-06,-6.0
489,OC1=CC(Cl)=CC=C1,3.45e-07,-6.462180905
490,CC1=CC(N)=CC=C1,1.66e-06,-5.779891912
491,NC1=CC(N)=CC=C1,1.25e-09,-8.903089987
492,OC1=CC(O)=CC=C1,9.88e-11,-10.00524306
493,CC1=CC=NC(C)=C1,6.74e-06,-5.171340103
494,CC1=CC=CC(C)=N1,1.04e-05,-4.982966661
495,CC(CCl)OC(C)CCl,7.42e-05,-4.129596095
496,CCOC(=O)CC(C)C,0.000711,-3.148130399
497,COCC(C)OC(C)=O,3.44e-06,-5.463441557
498,CC1=CC(C)=CC(C)=C1,0.00877,-2.057000407
499,CC1=CC(O)=CC(C)=C1,6.14e-07,-6.211831629
500,ClC1=CC(Cl)=CC(Cl)=C1,0.00189,-2.723538196
501,CC1=CC(C)=NC(C)=C1,8.81e-06,-5.055024092
502,NC1=NC(N)=NC(N)=N1,1.84e-14,-13.73518218
503,CC(C)CC(O)CC(C)C,0.000129,-3.88941029
504,CC(C)CC(=O)CC(C)C,0.000117,-3.931814138
505,CC(C)CC(C)OC(C)=O,0.000584,-3.233587153
506,BrC1=CC=CC=C1,0.00247,-2.607303047
507,CC1CCCCC1,0.43,-0.366531544
508,CC1=CC=CC=C1,0.00664,-2.177831921
509,CC1=CC=NC=C1,6e-06,-5.22184875
510,ClC1=CC=CC=C1,0.00311,-2.507239611
511,NC1CCCCC1,4.16e-06,-5.380906669
512,OC1CCCCC1,4.4e-06,-5.356547324
513,O=C1CCCCC1,9e-06,-5.045757491
514,OC1=CC=CC=C1,3.33e-07,-6.477555766
515,SC1=CC=CC=C1,0.000335,-3.474955193
516,CC1=CC=CN=C1,7.73e-06,-5.111820506
517,BrC1=CC=CC=N1,7.7e-06,-5.113509275
518,CC1=NC=CC=C1,9.96e-06,-5.001740662
519,CC1=NC=CN=C1,2.2e-06,-5.657577319
520,ClC1=NC=CC=C1,1.63e-05,-4.787812396
521,CCCCOC(=O)CCC,0.000687,-3.163043263
522,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,4.85e-08,-7.314258261
523,CCCCC(O)=O,4.72e-07,-6.326058001
524,CC(C)COC=C,0.002614,-2.582694417
525,CC(C)OCCO,9.2e-07,-6.036212173
526,CCCOC(C)=O,0.000218,-3.661543506
527,BrCCCBr,0.000888,-3.051587034
528,CCCCBr,0.00871,-2.059981845
529,CCCCC,1.25,0.096910013
530,CCCC=C,0.396,-0.402304814
531,CCCCCl,0.0167,-1.777283529
532,CCCCN,1.74e-05,-4.759450752
533,CCCC#N,5.23e-05,-4.281498311
534,N#CCC#N,1.31e-07,-6.882728704
535,OCCC#N,7.5e-09,-8.124938737
536,CCCCS,0.00454,-2.342944147
537,COCCO,3.3e-07,-6.48148606
538,COCOC,0.000173,-3.761953897
539,CCNCC,2.55e-05,-4.59345982
540,CCOC=C,0.005387,-2.268653024
541,C=COC=C,0.008035,-2.095014119
542,CCOC=O,0.000385,-3.41453927
543,N1C=CC=C1,1.8e-05,-4.744727495
544,C1CCOC1,7.05e-05,-4.151810883
545,O1C=CC=C1,0.0054,-2.26760624
546,S1C=CC=C1,0.00227,-2.643974143
547,CC(C)(C)OOC(C)(C)C,0.0483,-1.316052869
548,CC(C)CCC(C)=O,0.00016,-3.795880017
549,OC(=O)CCC(O)=O,3.57e-13,-12.44733178
550,CC(C)COC(C)=O,0.000454,-3.342944147
551,CCCCCCCCCC(=O)OC,0.00206,-2.68613278
552,CCCCCC(C)=O,0.000169,-3.772113295
553,CC(C)CCOC=O,0.000674,-3.171340103
554,COCCOC(C)=O,1.09e-07,-6.962573502
555,CCCCCBr,0.01972,-1.705093089
556,CCCCCC,1.802,0.255754787
557,ClCCCCCl,0.000486,-3.313363731
558,CCCCCN,2.43e-05,-4.614393726
559,N#CCCC#N,6.46e-09,-8.189767482
560,CCCCC=O,0.000147,-3.832682665
561,OCCCCO,1.3e-09,-8.886056648
562,CCCCCS,0.0121,-1.91721463
563,CCCOC=O,0.000435,-3.361510743
564,ClCCOC=C,0.008758,-2.057595059
565,CCOCCO,4.7e-07,-6.327902142
566,CCSSCC,0.00215,-2.66756154
567,C1CCCCC1,0.15,-0.823908741
568,C1CCC=CC1,0.0455,-1.341988603
569,C1=CC=NC=C1,1.1e-05,-4.958607315
570,C1CCNCC1,4.45e-06,-5.351639989
571,C1COCCN1,1.16e-06,-5.935542011
572,CC(C)CNCC(C)C,0.000562,-3.250263684
573,CCCCCCCC(=O)OC,0.000783,-3.106238238
574,CCCCCCC(C)=O,0.000188,-3.725842151
575,CCCCCCC(O)=O,6.5e-07,-6.187086643
576,CCOCCOC(C)=O,3.2e-06,-5.494850022
577,OC(=O)CCCCCC(O)=O,3.79e-13,-12.42136079
578,CCCCCCBr,0.03283,-1.483729117
579,CCCCCCN,2.68e-05,-4.571865206
580,CCCCCCO,1.71e-05,-4.76700389
581,CCCCOC=C,0.002157,-2.666149855
582,OCCNCCO,3.87e-11,-10.41228903
583,CCCOCCC,0.0022,-2.657577319
584,ClCCOCCCl,1.7e-05,-4.769551079
585,CCCSCCC,0.00324,-2.48945499
586,C1CCCNCC1,6.14e-06,-5.211831629
587,CC(=O)OCCOC(C)=O,8.4e-08,-7.075720714
588,CCCCCCCC,3.211,0.506640306
589,CCCCCCC=C,0.6266,-0.203009609
590,N#CCCCCC#N,1.21e-09,-8.91721463
591,CCCCCCCO,1.88e-05,-4.725842151
592,CCCCCCC=O,0.00027,-3.568636236
593,CCCCOCCO,1.6e-06,-5.795880017
594,CCCCCCCCBr,0.05813,-1.235599677
595,CCCCCCCCC,3.4,0.531478917
596,CCCCCCCCCl,0.03801,-1.42010213
597,CCCCCCCCN,0.000824,-3.084072788
598,CCCCCCCCO,2.45e-05,-4.610833916
599,CCOCCOCCO,2.23e-08,-7.651695137
600,ClCCOCOCCCl,3.85e-06,-5.41453927
601,CCCCNCCCC,8.9e-05,-4.050609993
602,COCCOCCOC,5.23e-07,-6.281498311
603,CCCCCCCCC(O)=O,1.62e-06,-5.790484985
604,CCCCOCCOC(C)=O,5.46e-06,-5.262807357
605,CCCCCCCCCC(C)=O,6.36e-05,-4.196542884
606,CCOCCOCCOC(C)=O,2.29e-08,-7.640164518
607,CCCCCCOCCO,3.12e-06,-5.505845406
608,ClCCOCCOCCCl,7.81e-07,-6.107348966
609,CCCCCCCCCCO,3.2e-05,-4.494850022
610,CCCCCCCCCC=O,0.0018,-2.744727495
611,CCCCOCCOCCO,7.2e-09,-8.142667504
612,CCOCCOCCOCC,1.11e-07,-6.954677021
613,CCCCCCCCCCCC,8.18,0.912753304
614,CCCCOCCOCCCC,1.03e-05,-4.987162775
615,CCCCCCCCCCCCO,2.22e-05,-4.653647026
616,CCCCCCOCCOCCO,1.74e-08,-7.759450752
617,CCCCCCCCCCCCCCO,0.00016,-3.795880017
618,CCCCOCCOCCOCCCC,2.5e-06,-5.602059991
619,CCCCCCCCCCCCCCCCCCO,0.000841,-3.075204004
620,CNC(=O)OC1=CC=CC=C1OC(C)C,1.43e-09,-8.844663963
621,CC=C,0.196,-0.707743929
622,COC,0.001,-3.0
623,CC(C)=C,0.218,-0.661543506
624,CC(C)(O)C=C,2.08e-05,-4.681936665
625,CC(C)(O)C#C,3.91e-06,-5.407823243
626,FC1(F)C(F)(F)C(F)(F)C1(F)F,8.476,0.928190948
627,CN(C)P(F)(=O)N(C)C,2.23e-08,-7.651695137
628,OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,2.42e-07,-6.616184634
629,[Cl-].CCCC[P+](CCCC)(CCCC)CC1=C(Cl)C=C(Cl)C=C1,3.82e-13,-12.41793664
630,O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,3.31e-06,-5.480172006
631,CCOP(=S)(OCC)OC1=CC=C(C=C1)S(C)=O,1.01e-08,-7.995678626
632,ClCCOP(=O)(OCCCl)OCCCl,3.29e-06,-5.482804102
633,CNC(=O)ON=CC(C)(C)SC,1.44e-09,-8.841637508
634,FC(F)=C(F)F,0.629,-0.201349355
635,ClC1=CC=C(C=C1)S(=O)(=O)C1=CC(Cl)=C(Cl)C=C1Cl,1.44e-09,-8.841637508
636,CCC(C)C(O)=O,1.47e-06,-5.832682665
637,NC1=CC=C(O)C2=C1C(=O)C1=CC=CC=C1C2=O,2.63e-11,-10.58004425
638,NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1,9.19e-11,-10.03668449
639,CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,2.7e-07,-6.568636236
640,CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,2.57e-06,-5.590066877
641,ClC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,0.0017,-2.769551079
642,OC(=O)C1=CC=CC=C1Cl,6.5e-08,-7.187086643
643,CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,2.08e-08,-7.681936665
644,CCOP(=S)(OCC)OC1=NN(C(=O)C=C1)C1=CC=CC=C1,4.93e-11,-10.30715308
645,OC1=CC=C(NC2=CC=C(C=C2[N+]([O-])=O)[N+]([O-])=O)C=C1,1.46e-12,-11.83564714
646,CC1=CC(=C(O)C=C1)[N+]([O-])=O,1.48e-05,-4.829738285
647,COC(=O)C1=C(O)C=CC=C1,9.81e-05,-4.008330993
648,C1CCC2=C(C1)C=CC=C2,0.00136,-2.866461092
649,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1,5.56e-05,-4.254925208
650,OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,2.7e-09,-8.568636236
651,O=CC1=CC=C2OCOC2=C1,5.6e-07,-6.251811973
652,COC(=O)C1=CC=C(C=C1)C(=O)OC,0.000134,-3.872895202
653,N1C=CC2=C1C=CC=C2,5.28e-07,-6.277366077
654,OC1=C(O)C=CC=C1,1.2e-09,-8.920818754
655,ClC1=CC(Cl)=C(Cl)C=C1,0.00142,-2.847711656
656,OC1=C(Cl)C=C(Cl)C=C1,3.48e-06,-5.458420756
657,O=C1CCCC1,1e-05,-5.0
658,CN1CCCC1,3.01e-05,-4.521433504
659,CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,5.4e-08,-7.26760624
660,CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(C\C=C/C=C)=C2C)C1(C)C,7.73e-07,-6.111820506
661,COC(=O)C(\C)=C\[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(C\C=C/C=C)=C2C)C1(C)C,2.19e-08,-7.659555885
662,COC1=C(O)C=CC(C=O)=C1,2.15e-09,-8.66756154
663,CCN(CC)CC,0.000149,-3.826813732
664,CN(C)C1=CC=CC=C1,5.68e-05,-4.245651664
665,[O-][N+](=O)C1=CC=CC(Cl)=C1,1.35e-05,-4.869666232
